Yıl,Kanun,Madde No,İçerik,processed_tokens
1926,TCK 765,448,Bir kimseyi kasten öldüren kişi ağır hapis cezası ile cezalandırılır.,bir kimse kasten öldürmek kişi ağır hapis ceza ile cezalandırmak .
2005,TCK 5237,81,Kasten öldürme suçunu işleyen kişi müebbet hapis cezası ile cezalandırılır.,kasten öldürmek suç işlemek kişi müebbet hapis ceza ile cezalandırmak .
1926,TCK 765,456,Bir kimseyi kasten yaralayan kişi beş yıla kadar hapis cezasına çarptırılır.,bir kimse kasten yaralamak kişi beş yılmak kadar hapis ceza çarpmak .
2005,TCK 5237,86,Kasten yaralama suçunu işleyen kişi iki yıldan beş yıla kadar hapis cezası ile cezalandırılır.,kasten yaralamak suç işlemek kişi iki yıl beş yılmak kadar hapis ceza ile cezalandırmak .
1926,TCK 765,491,Başkasına ait eşyayı gizlice alan kişi hırsızlık suçu işlemiş olur.,başka ait eşya gizli almak kişi hırsız suç işlemek olur .
2005,TCK 5237,141,"Zilyetliğinde bulunmayan malı, sahibinin rızası dışında almak suretiyle hırsızlık suçunu işleyen kişi cezalandırılır.","zilyet bulunmak mal , Sahib Rıza dış almak suret hırsız suç işlemek kişi cezalandırmak ."
1926,TCK 765,503,Dolandırıcılık yapan kişi iki seneye kadar hapis cezasına çarptırılır.,dolandırıcı yapmak kişi iki seneye kadar hapis ceza çarpmak .
2005,TCK 5237,157,Hileli davranışlarla bir kimseyi aldatarak kendisine veya başkasına yarar sağlayan kişi dolandırıcılık suçunu işlemiş olur.,hile davranış bir kimse aldatmak kendi veya başka yarar sağlamak kişi dolandırıcı suç işlemek olur .
1926,TCK 765,480,Çocuğunu terk eden ana veya baba iki aya kadar hapis cezası ile cezalandırılır.,çocuk terk etmek ana veya baba iki aymak kadar hapis ceza ile cezalandırmak .
2005,TCK 5237,233,Aile hukukundan doğan yükümlülükleri ihlal eden kişi cezalandırılır.,aile hukuk doğmak yüküm ihlâl etmek kişi cezalandırmak .
1926,TCK 765,461,Bir kişiye sürekli işkence yapan kişi on yıla kadar hapis cezası ile cezalandırılır.,bir kişi sürekli işkence yapmak kişi on yılmak kadar hapis ceza ile cezalandırmak .
2005,TCK 5237,94,Bir kimseye insan onuruyla bağdaşmayacak biçimde işkence eden kişi cezalandırılır.,bir kimse insan onur bağdaşmak biçim işkence etmek kişi cezalandırmak .
1926,TCK 765,464,Adam kaçıran kişi iki yıldan altı yıla kadar hapis cezasına çarptırılır.,ada kaçırmak kişi iki yıl altı yılmak kadar hapis ceza çarpmak .
2005,TCK 5237,109,Bir kimsenin hürriyetinden yoksun bırakılması suçu işlendiğinde fail cezalandırılır.,bir kimse hürriyet yoksun bırakmak suç işlemek fail cezalandırmak .
1926,TCK 765,536,Genel ahlaka aykırı davranan kimseye idarî para cezası verilir.,genel ahlak aykırı davranmak kimse idarî par ceza vermek .
2005,TCK 5237,225,Aleniyet arz eden edepsiz hareketlerde bulunan kişiye hapis veya para cezası verilir.,aleniyet arz etmek edep hareket bulunmak kişi hapis veya par ceza vermek .
1926,TCK 765,480,Bürokrasiye karşı direnen vatandaş cezalandırılır.,bürokrasi karşı direnmek vatandaş cezalandırmak .
2005,TCK 5237,265,Kamu görevlisine direnme suçunu işleyen kişi cezalandırılır.,kamu görev direnmek suç işlemek kişi cezalandırmak .
1926,TCK 765,549,Memura rüşvet veren kişi yargılanır.,memur rüşvet vermek kişi yargılamak .
2005,TCK 5237,252,Rüşvet alma veya verme fiilinde bulunan kişiler hapis cezası ile cezalandırılır.,rüşvet almak veya vermek fiil bulunmak kişi hapis ceza ile cezalandırmak .
